,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,epic.swiss,172665,164,False,False,N/A,311,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/361563859_1077102573674377_2775522668906620675_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=HKt38m89HsEAX-tWamp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDgumtTg5GHhgADZaDquKfAYtLBpP_LzC3F_O7euldJKw&oe=65630F67&_nc_sid=bc0c2c,"Amazing Switzerland😍 📍Lauterbrunnen

Exact location in my Switzerland Travel Guide (Link in Bio)

Save this reel for your next trip to Switzerland🇨🇭

I have just created a Switzerland Travel Guide with over 100 must-visit and hidden places like this with fewer tourists that a lot of people don't know of that are incredible! With this Guide you will make the best out of your next trip and see places that others won't see😍 It comes as a Digital Map for Google Maps so you always have it on you, you can find it in my Bio😊

#switzerlandtravelguide #switzerland #swiss #suisse #switzerlandwonderland #visitswitzerland #myswitzerland #inlovewithswitzerland #ig_switzerland #switzerland_vacations #swissxplorers #lifeofswitzerland #swissalps #amazingswitzerland #switzerlandpictures #igersswitzerland #switzerland_destinations #svizzera #exploreswitzerland #igerssuisse #iloveswitzerland #alpen #suica #suiza #bergliebe #schweizeralpen #ig_swiss","['switzerlandtravelguide', 'switzerland', 'swiss', 'suisse', 'switzerlandwonderland', 'visitswitzerland', 'myswitzerland', 'inlovewithswitzerland', 'ig_switzerland', 'switzerland_vacations', 'swissxplorers', 'lifeofswitzerland', 'swissalps', 'amazingswitzerland', 'switzerlandpictures', 'igersswitzerland', 'switzerland_destinations', 'svizzera', 'exploreswitzerland', 'igerssuisse', 'iloveswitzerland', 'alpen', 'suica', 'suiza', 'bergliebe', 'schweizeralpen', 'ig_swiss']",1435,14,"Lauterbrunnen, Switzerland",2023-07-18 11:59:09,GraphSidecar
1,epic.swiss,172665,164,False,False,N/A,311,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/362697171_2234731543403470_6109612285227816154_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=W5muiN3RrUQAX8658eh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDnP2mpMO0oj7GBBhlNohb4qMgmD1x2ZIBkEQ5W7-02eA&oe=6562FE36&_nc_sid=bc0c2c,"Amazing Switzerland😍 📍Oeschinensee

Exact locations in my Switzerland Travel Guide (Link in Bio)

Save this reel for your next trip to Switzerland🇨🇭

I have just created a Switzerland Travel Guide with over 100 must-visit and hidden places like this with fewer tourists that a lot of people don't know of that are incredible! With this Guide you will make the best out of your next trip and see places that others won't see😍 It comes as a Digital Map for Google Maps so you always have it on you, you can find it in my Bio😊

#switzerlandtravelguide #switzerland #swiss #suisse #switzerlandwonderland #visitswitzerland #myswitzerland #inlovewithswitzerland #ig_switzerland #switzerland_vacations #swissxplorers #lifeofswitzerland #swissalps #amazingswitzerland #switzerlandpictures #igersswitzerland #switzerland_destinations #svizzera #exploreswitzerland #igerssuisse #iloveswitzerland #alpen #suica #suiza #bergliebe #schweizeralpen #ig_swiss","['switzerlandtravelguide', 'switzerland', 'swiss', 'suisse', 'switzerlandwonderland', 'visitswitzerland', 'myswitzerland', 'inlovewithswitzerland', 'ig_switzerland', 'switzerland_vacations', 'swissxplorers', 'lifeofswitzerland', 'swissalps', 'amazingswitzerland', 'switzerlandpictures', 'igersswitzerland', 'switzerland_destinations', 'svizzera', 'exploreswitzerland', 'igerssuisse', 'iloveswitzerland', 'alpen', 'suica', 'suiza', 'bergliebe', 'schweizeralpen', 'ig_swiss']",641,12,Oeschinensee,2023-07-25 16:01:13,GraphSidecar
2,epic.swiss,172665,164,False,False,N/A,311,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/336031131_207701915199636_4209409336383502673_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=f8Xwr-eSLaQAX_H0-b7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCJO12w43ZTcwu1X3brcQqHfPQxwMCo4Zjdff4IA4PDDQ&oe=6562C79C&_nc_sid=bc0c2c,"Which Video do you like best?😍🇨🇭

Save this Reel for your next trip to Switzerland!🇨🇭

Follow @epic.swiss
Follow @riederphotography
Follow @travel_with_sven

#switzerland #swiss #suisse #switzerlandwonderland #visitswitzerland #myswitzerland #inlovewithswitzerland #ig_switzerland #switzerland_vacations #swissxplorers #lifeofswitzerland #swissalps #amazingswitzerland #switzerlandpictures #igersswitzerland #switzerland_destinations #svizzera #exploreswitzerland #igerssuisse #iloveswitzerland #alpen #suica #suiza #bergliebe #schweizeralpen #ig_swiss","['switzerland', 'swiss', 'suisse', 'switzerlandwonderland', 'visitswitzerland', 'myswitzerland', 'inlovewithswitzerland', 'ig_switzerland', 'switzerland_vacations', 'swissxplorers', 'lifeofswitzerland', 'swissalps', 'amazingswitzerland', 'switzerlandpictures', 'igersswitzerland', 'switzerland_destinations', 'svizzera', 'exploreswitzerland', 'igerssuisse', 'iloveswitzerland', 'alpen', 'suica', 'suiza', 'bergliebe', 'schweizeralpen', 'ig_swiss']",627,19,Switzerland,2023-03-17 13:53:18,GraphSidecar
3,epic.swiss,172665,164,False,False,N/A,311,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/287711549_156192180262589_976818835816626846_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=x7rxyVHNcJYAX_yJRsK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAkahRHRaQR5BOEU0iI1eiRndl2kVl7h_aBGgY46DGFoA&oe=65671AF5&_nc_sid=bc0c2c,"Keep close to nature’s heart🏕️

📷 @hikewithme_ch
📍 Switzerland

#switzerland
#swiss #swissview #switzerland🇨🇭 #swizerland_vacations #swissvillages #switzerland_destinations #explore #switzerlandwonderland #beautiful #beautifuldestinations #traveladdict #travelling #travel #destination #naturally #naturephotographer #natureonly #natureshots #natureaddict #adventure #explore #haven #havenonearth #paradise","['switzerland', 'swiss', 'swissview', 'switzerland', 'swizerland_vacations', 'swissvillages', 'switzerland_destinations', 'explore', 'switzerlandwonderland', 'beautiful', 'beautifuldestinations', 'traveladdict', 'travelling', 'travel', 'destination', 'naturally', 'naturephotographer', 'natureonly', 'natureshots', 'natureaddict', 'adventure', 'explore', 'haven', 'havenonearth', 'paradise']",546,14,Switzerland,2022-06-16 04:43:37,GraphSidecar
4,epic.swiss,172665,164,False,False,N/A,311,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/292422574_1033169384227608_460210959552336095_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=l_X8F5pf0CsAX_797kV&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBqAwl5Yd0wCndU0RDFO3wQBO275EoMOroc0voVLDN_VA&oe=6565A0D6&_nc_sid=bc0c2c,"Swiss mountain village 🏕️
📷 : @sennarelax 

#swissmountains #switzerland #swiss #swissview #switzerland🇨🇭 #swizerland_vacations #swissvillages #switzerland_destinations #villagelife #lakeview #mountain #naturally #naturephotographer #naturelove #natureonly #natureshots #natureaddict #haven #havenonearth #adventure #explore #beautiful #paradise #beautifuldestinations #💚","['swissmountains', 'switzerland', 'swiss', 'swissview', 'switzerland', 'swizerland_vacations', 'swissvillages', 'switzerland_destinations', 'villagelife', 'lakeview', 'mountain', 'naturally', 'naturephotographer', 'naturelove', 'natureonly', 'natureshots', 'natureaddict', 'haven', 'havenonearth', 'adventure', 'explore', 'beautiful', 'paradise', 'beautifuldestinations']",524,18,,2022-07-10 04:32:18,GraphSidecar
5,epic.swiss,172665,164,False,False,N/A,311,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/307446337_144331194968492_849966660409239117_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=z8dBE7ds2RkAX-GC0rp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB26ncrsfyMPhsIxIs2Xd6TiGkS7HYqswGm-nhUmlj5Zw&oe=6565BB01&_nc_sid=bc0c2c,"Have you ever been in Switzerland?🇨🇭

📸 @riederphotography

#switzerland #swiss #suisse #switzerlandwonderland #visitswitzerland #myswitzerland #inlovewithswitzerland #ig_switzerland #switzerland_vacations #swissxplorers #lifeofswitzerland #swissalps #amazingswitzerland #switzerlandpictures #igersswitzerland #switzerland_destinations #svizzera #exploreswitzerland #igerssuisse #iloveswitzerland #alpen #suica #suiza #bergliebe #schweizeralpen #ig_swiss","['switzerland', 'swiss', 'suisse', 'switzerlandwonderland', 'visitswitzerland', 'myswitzerland', 'inlovewithswitzerland', 'ig_switzerland', 'switzerland_vacations', 'swissxplorers', 'lifeofswitzerland', 'swissalps', 'amazingswitzerland', 'switzerlandpictures', 'igersswitzerland', 'switzerland_destinations', 'svizzera', 'exploreswitzerland', 'igerssuisse', 'iloveswitzerland', 'alpen', 'suica', 'suiza', 'bergliebe', 'schweizeralpen', 'ig_swiss']",438,18,Switzerland,2022-09-20 08:36:44,GraphSidecar
6,epic.swiss,172665,164,False,False,N/A,311,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/310397069_602413138296690_6777534412753712175_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=CvCT8aj4KGcAX8mx3Z9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBy9fJsWyq3_KT9rZHI6CDQ_leehuspV_XDC3nYjVwOvg&oe=656643A4&_nc_sid=bc0c2c,"Switzerland😍 Which places do you know the name of?
.
.
.
.
#switzerland #swiss #suisse #switzerlandwonderland #visitswitzerland #myswitzerland #inlovewithswitzerland #ig_switzerland #switzerland_vacations #swissxplorers #lifeofswitzerland #swissalps #amazingswitzerland #switzerlandpictures #igersswitzerland #switzerland_destinations #svizzera #exploreswitzerland #igerssuisse #iloveswitzerland #alpen #suica #suiza #bergliebe #schweizeralpen #ig_swiss","['switzerland', 'swiss', 'suisse', 'switzerlandwonderland', 'visitswitzerland', 'myswitzerland', 'inlovewithswitzerland', 'ig_switzerland', 'switzerland_vacations', 'swissxplorers', 'lifeofswitzerland', 'swissalps', 'amazingswitzerland', 'switzerlandpictures', 'igersswitzerland', 'switzerland_destinations', 'svizzera', 'exploreswitzerland', 'igerssuisse', 'iloveswitzerland', 'alpen', 'suica', 'suiza', 'bergliebe', 'schweizeralpen', 'ig_swiss']",413,11,Switzerland,2022-10-03 12:25:18,GraphSidecar
7,epic.swiss,172665,164,False,False,N/A,311,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/403842402_878111783602662_5850202819320262624_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=0NyTVHuk4p8AX-1hLYs&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB_XwKxj8zxoFGmP9pBZti40cYDJmkfYoLRtO_fqslg_w&oe=6562F75A&_nc_sid=8b3546,"Locations👇🏻

📍Lauterbrunnen
📍Jaun
📍Secret🤫 (Only in my Travel Guide Pro)
📍Aletsch Glacier
📍Lauterbrunnen
📍Aletsch Glacier
📍Lauterbrunnen

Do you want to visit the best places in Switzerland on your EXPENSIVE trip? Then this is for you!🇨🇭

My self-made Travel Guide Pro with 100+ spots gives you only the best places and hidden locations that you won't find anywhere else, ensuring you make the most of your trip. Use code PRO15OFF for a 15% discount until the end of the week — because your pricey holiday deserves perfection😍❤️
.
.
.
.
.
.
.
.
#switzerlandtravelguide #switzerland #swiss #suisse #switzerlandwonderland #visitswitzerland #myswitzerland #inlovewithswitzerland #ig_switzerland #switzerland_vacations #swissxplorers #lifeofswitzerland #swissalps #amazingswitzerland #switzerlandpictures #igersswitzerland #switzerland_destinations #svizzera #exploreswitzerland #igerssuisse #iloveswitzerland #alpen #suica #suiza #bergliebe #schweizeralpen #ig_swiss","['switzerlandtravelguide', 'switzerland', 'swiss', 'suisse', 'switzerlandwonderland', 'visitswitzerland', 'myswitzerland', 'inlovewithswitzerland', 'ig_switzerland', 'switzerland_vacations', 'swissxplorers', 'lifeofswitzerland', 'swissalps', 'amazingswitzerland', 'switzerlandpictures', 'igersswitzerland', 'switzerland_destinations', 'svizzera', 'exploreswitzerland', 'igerssuisse', 'iloveswitzerland', 'alpen', 'suica', 'suiza', 'bergliebe', 'schweizeralpen', 'ig_swiss']",352,2,Switzerland,2023-11-20 21:34:56,GraphSidecar
8,epic.swiss,172665,164,False,False,N/A,311,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/400484983_309468405230419_3602379497690244298_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=pv6eb6pl1W0AX9ZsqHX&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDDBFLaPFE6b6ZZIRKL2Ylk1EWae9R2xsVXWp9dGI0ECA&oe=65631042&_nc_sid=8b3546,"Some amazing places in Switzerland🇨🇭👇🏻

Because I want to save these places from overtourism, I won't share the location of these spots publicly. If you want to explore Switzerland without the tourists, you can find the location of this beautiful view in my Switzerland Travel Guide (Link in Bio)👇🏻

I have made a Travel Guide with over 100+ ready planned trips that you can get in just 2 minutes! Just go to my Website (Link in Bio) and download it, you will save yourself a LOT of time planning and finding the spots yourself and can enjoy the time exploring!😍🇨🇭
.
.
.
.
.
.
.
.
#switzerlandtravelguide #switzerland #swiss #suisse #switzerlandwonderland #visitswitzerland #myswitzerland #inlovewithswitzerland #ig_switzerland #switzerland_vacations #swissxplorers #lifeofswitzerland #swissalps #amazingswitzerland #switzerlandpictures #igersswitzerland #switzerland_destinations #svizzera #exploreswitzerland #igerssuisse #iloveswitzerland #alpen #suica #suiza #bergliebe #schweizeralpen #ig_swiss","['switzerlandtravelguide', 'switzerland', 'swiss', 'suisse', 'switzerlandwonderland', 'visitswitzerland', 'myswitzerland', 'inlovewithswitzerland', 'ig_switzerland', 'switzerland_vacations', 'swissxplorers', 'lifeofswitzerland', 'swissalps', 'amazingswitzerland', 'switzerlandpictures', 'igersswitzerland', 'switzerland_destinations', 'svizzera', 'exploreswitzerland', 'igerssuisse', 'iloveswitzerland', 'alpen', 'suica', 'suiza', 'bergliebe', 'schweizeralpen', 'ig_swiss']",345,2,Switzerland,2023-11-10 17:33:43,GraphSidecar
9,epic.swiss,172665,164,False,False,N/A,311,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/364299688_140640239069394_3152551376913177356_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=yBOBa2OVM5sAX9Fi8mG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCWlIBoihaypxal-1EC4eoM44mOdkHIy25-FCWM74a_4A&oe=65635071&_nc_sid=bc0c2c,"Amazing places in Switzerland👇🏻😍

Exact locations in my Switzerland Travel Guide (Link in Bio)

Save this reel for your next trip to Switzerland🇨🇭

I have just created a Switzerland Travel Guide with over 100 must-visit and hidden places like this with fewer tourists that a lot of people don't know of that are incredible! With this Guide you will make the best out of your next trip and see places that others won't see😍 It comes as a Digital Map for Google Maps so you always have it on you, you can find it in my Bio😊

#switzerlandtravelguide #swissalps #summermemories #swissviews #exploreswitzerland #visitswitzerland #travelreels #hikingadventures #hiker #wanderer #bestofswitzerland #inlovewithswitzerland #myswitzerland #outdoorlover #travelgram #exploremore #hikemore #mountainlover #alps #bergliebe #myswitzerland","['switzerlandtravelguide', 'swissalps', 'summermemories', 'swissviews', 'exploreswitzerland', 'visitswitzerland', 'travelreels', 'hikingadventures', 'hiker', 'wanderer', 'bestofswitzerland', 'inlovewithswitzerland', 'myswitzerland', 'outdoorlover', 'travelgram', 'exploremore', 'hikemore', 'mountainlover', 'alps', 'bergliebe', 'myswitzerland']",338,4,Switzerland,2023-07-31 17:57:21,GraphSidecar
